For size 	'18 x 2' 	and key 'ОХОТАНАКАБАНОВ' : 		0,02006694
For size 	'2 x 18' 	and key 'ОХОТАНАКАБАНОВ' : 		0,05216137
For size 	'3 x 12' 	and key 'ОХОТАНАКАБАНОВ' : 		0,02000115
For size 	'12 x 3' 	and key 'ОХОТАНАКАБАНОВ' : 		0,01811586
For size 	'4 x 9' 	and key 'ОХОТАНАКАБАНОВ' : 		0,0143442
For size 	'9 x 4' 	and key 'ОХОТАНАКАБАНОВ' : 		0,02448129
For size 	'6 x 6' 	and key 'ОХОТАНАКАБАНОВ' : 		0,02066303
For size 	'18 x 2' 	and key 'РЕЖИМОГНЯ' : 		0,02140624
For size 	'2 x 18' 	and key 'РЕЖИМОГНЯ' : 		0,05097478
For size 	'3 x 12' 	and key 'РЕЖИМОГНЯ' : 		0,03194955
For size 	'12 x 3' 	and key 'РЕЖИМОГНЯ' : 		0,02100207
For size 	'4 x 9' 	and key 'РЕЖИМОГНЯ' : 		0,01717834
For size 	'9 x 4' 	and key 'РЕЖИМОГНЯ' : 		0,02625043
For size 	'6 x 6' 	and key 'РЕЖИМОГНЯ' : 		0,02080286
For size 	'18 x 2' 	and key 'ИЗМЕРЯЙЦИРКУЛЕМ' : 		0,01399026
For size 	'2 x 18' 	and key 'ИЗМЕРЯЙЦИРКУЛЕМ' : 		0,05324414
For size 	'3 x 12' 	and key 'ИЗМЕРЯЙЦИРКУЛЕМ' : 		0,0175553
For size 	'12 x 3' 	and key 'ИЗМЕРЯЙЦИРКУЛЕМ' : 		0,01984627
For size 	'4 x 9' 	and key 'ИЗМЕРЯЙЦИРКУЛЕМ' : 		0,02792159
For size 	'9 x 4' 	and key 'ИЗМЕРЯЙЦИРКУЛЕМ' : 		0,01514024
For size 	'6 x 6' 	and key 'ИЗМЕРЯЙЦИРКУЛЕМ' : 		0,01911988
For size 	'18 x 2' 	and key 'ТРАМВАЙУШЕЛ' : 		0,01458897
For size 	'2 x 18' 	and key 'ТРАМВАЙУШЕЛ' : 		0,05252228
For size 	'3 x 12' 	and key 'ТРАМВАЙУШЕЛ' : 		0,02064233
For size 	'12 x 3' 	and key 'ТРАМВАЙУШЕЛ' : 		0,01408213
For size 	'4 x 9' 	and key 'ТРАМВАЙУШЕЛ' : 		0,02220567
For size 	'9 x 4' 	and key 'ТРАМВАЙУШЕЛ' : 		0,01964571
For size 	'6 x 6' 	and key 'ТРАМВАЙУШЕЛ' : 		0,01422746
For size 	'18 x 2' 	and key 'РУБИРОИДИЗОДЕССЫ' : 		0,02481291
For size 	'2 x 18' 	and key 'РУБИРОИДИЗОДЕССЫ' : 		0,05743851
For size 	'3 x 12' 	and key 'РУБИРОИДИЗОДЕССЫ' : 		0,028333
For size 	'12 x 3' 	and key 'РУБИРОИДИЗОДЕССЫ' : 		0,02449502
For size 	'4 x 9' 	and key 'РУБИРОИДИЗОДЕССЫ' : 		0,02435871
For size 	'9 x 4' 	and key 'РУБИРОИДИЗОДЕССЫ' : 		0,02399658
For size 	'6 x 6' 	and key 'РУБИРОИДИЗОДЕССЫ' : 		0,02724916
For size 	'18 x 2' 	and key 'ВОРУЙКРАБОВ' : 		0,006551086
For size 	'2 x 18' 	and key 'ВОРУЙКРАБОВ' : 		0,0433334
For size 	'3 x 12' 	and key 'ВОРУЙКРАБОВ' : 		0,01107332
For size 	'12 x 3' 	and key 'ВОРУЙКРАБОВ' : 		0,007159865
For size 	'4 x 9' 	and key 'ВОРУЙКРАБОВ' : 		0,001890908
For size 	'9 x 4' 	and key 'ВОРУЙКРАБОВ' : 		0,009960505
For size 	'6 x 6' 	and key 'ВОРУЙКРАБОВ' : 		0,009559855
For size 	'18 x 2' 	and key 'СЕМЕНПЕТРОВИЧ' : 		0,02141475
For size 	'2 x 18' 	and key 'СЕМЕНПЕТРОВИЧ' : 		0,05213285
For size 	'3 x 12' 	and key 'СЕМЕНПЕТРОВИЧ' : 		0,02883881
For size 	'12 x 3' 	and key 'СЕМЕНПЕТРОВИЧ' : 		0,02565325
For size 	'4 x 9' 	and key 'СЕМЕНПЕТРОВИЧ' : 		0,02041975
For size 	'9 x 4' 	and key 'СЕМЕНПЕТРОВИЧ' : 		0,02119712
For size 	'6 x 6' 	and key 'СЕМЕНПЕТРОВИЧ' : 		0,0238014
For size 	'18 x 2' 	and key 'АБРАКАДАБРА' : 		0,01834515
For size 	'2 x 18' 	and key 'АБРАКАДАБРА' : 		0,05454835
For size 	'3 x 12' 	and key 'АБРАКАДАБРА' : 		0,01701701
For size 	'12 x 3' 	and key 'АБРАКАДАБРА' : 		0,01754496
For size 	'4 x 9' 	and key 'АБРАКАДАБРА' : 		0,02143372
For size 	'9 x 4' 	and key 'АБРАКАДАБРА' : 		0,01914982
For size 	'6 x 6' 	and key 'АБРАКАДАБРА' : 		0,01659143
For size 	'18 x 2' 	and key 'АВАДАКЕДАВРА' : 		0,01916075
For size 	'2 x 18' 	and key 'АВАДАКЕДАВРА' : 		0,05401733
For size 	'3 x 12' 	and key 'АВАДАКЕДАВРА' : 		0,01844445
For size 	'12 x 3' 	and key 'АВАДАКЕДАВРА' : 		0,01836056
For size 	'4 x 9' 	and key 'АВАДАКЕДАВРА' : 		0,01458736
For size 	'9 x 4' 	and key 'АВАДАКЕДАВРА' : 		0,01996543
For size 	'6 x 6' 	and key 'АВАДАКЕДАВРА' : 		0,01724788
For size 	'18 x 2' 	and key 'КАСТУЙАРГМАГЕДДОН' : 		0,02687499
For size 	'2 x 18' 	and key 'КАСТУЙАРГМАГЕДДОН' : 		0,05935346
For size 	'3 x 12' 	and key 'КАСТУЙАРГМАГЕДДОН' : 		0,02847143
For size 	'12 x 3' 	and key 'КАСТУЙАРГМАГЕДДОН' : 		0,0290953
For size 	'4 x 9' 	and key 'КАСТУЙАРГМАГЕДДОН' : 		0,0296911
For size 	'9 x 4' 	and key 'КАСТУЙАРГМАГЕДДОН' : 		0,02718044
For size 	'6 x 6' 	and key 'КАСТУЙАРГМАГЕДДОН' : 		0,01603543
For size 	'18 x 2' 	and key 'ПРОДАЖАКНИГ' : 		0,02657684
For size 	'2 x 18' 	and key 'ПРОДАЖАКНИГ' : 		0,0530475
For size 	'3 x 12' 	and key 'ПРОДАЖАКНИГ' : 		0,02516264
For size 	'12 x 3' 	and key 'ПРОДАЖАКНИГ' : 		0,026052
For size 	'4 x 9' 	and key 'ПРОДАЖАКНИГ' : 		0,024614
For size 	'9 x 4' 	and key 'ПРОДАЖАКНИГ' : 		0,02579599
For size 	'6 x 6' 	and key 'ПРОДАЖАКНИГ' : 		0,02910551
For size 	'18 x 2' 	and key 'ПРИШВИН ОШИБСЯ' : 		0,06164141
For size 	'2 x 18' 	and key 'ПРИШВИН ОШИБСЯ' : 		0,03582779
For size 	'3 x 12' 	and key 'ПРИШВИН ОШИБСЯ' : 		0,06563307
For size 	'12 x 3' 	and key 'ПРИШВИН ОШИБСЯ' : 		0,05892114
For size 	'4 x 9' 	and key 'ПРИШВИН ОШИБСЯ' : 		0,06569932
For size 	'9 x 4' 	and key 'ПРИШВИН ОШИБСЯ' : 		0,06187947
For size 	'6 x 6' 	and key 'ПРИШВИН ОШИБСЯ' : 		0,06123853
For size 	'18 x 2' 	and key 'КРАСИВЫЙ ЖЕСТ' : 		0,07540385
For size 	'2 x 18' 	and key 'КРАСИВЫЙ ЖЕСТ' : 		0,05323
For size 	'3 x 12' 	and key 'КРАСИВЫЙ ЖЕСТ' : 		0,08881565
For size 	'12 x 3' 	and key 'КРАСИВЫЙ ЖЕСТ' : 		0,07961538
For size 	'4 x 9' 	and key 'КРАСИВЫЙ ЖЕСТ' : 		0,07921652
For size 	'9 x 4' 	and key 'КРАСИВЫЙ ЖЕСТ' : 		0,08227088
For size 	'6 x 6' 	and key 'КРАСИВЫЙ ЖЕСТ' : 		0,07842785
For size 	'18 x 2' 	and key 'П, ЕНТ ГО' : 		0,07700771
For size 	'2 x 18' 	and key 'П, ЕНТ ГО' : 		0,07632718
For size 	'3 x 12' 	and key 'П, ЕНТ ГО' : 		0,0693886
For size 	'12 x 3' 	and key 'П, ЕНТ ГО' : 		0,08100932
For size 	'4 x 9' 	and key 'П, ЕНТ ГО' : 		0,07362249
For size 	'9 x 4' 	and key 'П, ЕНТ ГО' : 		0,07877046
For size 	'6 x 6' 	and key 'П, ЕНТ ГО' : 		0,07856193
For size 	'18 x 2' 	and key 'ВРАЩЕНИЕЗЕМЛИ' : 		0,03036024
For size 	'2 x 18' 	and key 'ВРАЩЕНИЕЗЕМЛИ' : 		0,06198707
For size 	'3 x 12' 	and key 'ВРАЩЕНИЕЗЕМЛИ' : 		0,03154304
For size 	'12 x 3' 	and key 'ВРАЩЕНИЕЗЕМЛИ' : 		0,02643424
For size 	'4 x 9' 	and key 'ВРАЩЕНИЕЗЕМЛИ' : 		0,02595285
For size 	'9 x 4' 	and key 'ВРАЩЕНИЕЗЕМЛИ' : 		0,02834923
For size 	'6 x 6' 	and key 'ВРАЩЕНИЕЗЕМЛИ' : 		0,03281971
For size 	'18 x 2' 	and key 'СИЗИФНАШ' : 		0,02135838
For size 	'2 x 18' 	and key 'СИЗИФНАШ' : 		0,05620418
